f,Suu,Svv,Sww
0.0156,0.0005239283377810505,0.00035015209859577364,0.0003032803581977438
0.0158,0.0005152753113766064,0.00046929643265944165,0.0002725086058233486
0.016,0.00044751626392565885,0.00037451030466469304,0.00029604972871107694
0.0162,0.0006565790913264645,0.0004443283760628572,0.0003046933008117801
0.0164,0.0006005133880159875,0.00032491456717461466,0.00029500993578703184
0.0166,0.000549137900968441,0.00037666780584161324,0.0003443977504655824
0.0168,0.000444190437983257,0.0004974514193508441,0.00024945645599252315
0.017,0.00042795841124348017,0.0004826849549374773,0.0002486556143190994
0.0172,0.0004772884949449387,0.00041664934483821354,0.00030046773920418404
0.0174,0.00042847553088377113,0.0003779942773800935,0.0003265337815565701
0.0176,0.00052004829155528,0.0005000096325464187,0.0003482077633494339
0.0178,0.0005690591968631882,0.0005097108367125339,0.00023644615715918602
0.018,0.0005184356601109191,0.0006822145721278427,0.00025275950950897594
0.0182,0.0004610707471246936,0.0004420638525911571,0.00023893932662150523
0.0184,0.0004002752494795619,0.000376273554193,0.0002525728171208178
0.0186,0.00043007993634956693,0.00027581487902488027,0.00026664235037120106
0.0188,0.0005480701934311607,0.00046291722597178,0.0003001834400837594
0.019,0.0005479541782293673,0.000433089036914628,0.0003110767238280334
0.0192,0.0005249790309298591,0.0005300711290896611,0.00037105039555473696
0.0194,0.00045086106567535355,0.00043229534446573515,0.0002364210681899655
0.0196,0.0006196847498521641,0.0004688529948973358,0.0003032608820919258
0.0198,0.0004498561808580133,0.00048413629631991774,0.0002454166129255823
0.02,0.0006089914834353353,0.00045749749778335806,0.00036668321452787824
0.0202,0.000498063021866166,0.0004479071782598499,0.00019075297887133466
0.0204,0.00023844517138775316,0.00046081051217616885,0.0002638303802974493
0.0206,0.0005199694008446452,0.0004181266503959953,0.0003523206127928718
0.0208,0.0005693025238054803,0.000554632757091785,0.00037973437811304137
0.021,0.0005011186869718192,0.00051356584542489,0.0003076079091529176
0.0212,0.00045906953744087055,0.00039621235164903623,0.0003158657930995553
0.0214,0.0003827172405619359,0.00040396674035478303,0.0003294397542479411
0.0216,0.00045310671970328893,0.0004858321403720441,0.0002745091326305502
0.0218,0.0004136678687535806,0.00054136497509432,0.000466928715757891
0.022,0.00038768735026353265,0.0004939856667894502,0.00035403674148515654
0.0222,0.0005889028663809778,0.0004618022825289169,0.00026689097934644074
0.0224,0.00038560822586210746,0.00039477207097576606,0.00026835570533404097
0.0226,0.0005042728295262423,0.0003936507217323099,0.00032836934596915216
0.0228,0.0004284756545817411,0.00046955507122998434,0.00031507763730310924
0.023,0.0004095403764621226,0.0005075782837457008,0.0003287000094764472
0.0232,0.0004440606214859285,0.0005308660154448422,0.0002783683272546497
0.0234,0.0003814833706215639,0.0003207624174642803,0.00029209842370681044
0.0236,0.0005698320244736754,0.0005506875738143451,0.000357078140393854
0.0238,0.0006032124548519608,0.0004031151506009539,0.00032777379808966934
0.024,0.0004843389769122998,0.0005988539915783832,0.0003281564707677626
