f,Suu,Svv,Sww
0.0338,0.0020268522772544377,0.0017654129005767287,0.0010900526521652359
0.034,0.0020210238245248454,0.001763576837337549,0.0010927520258392442
0.0342,0.0020152351111439016,0.001761732426858649,0.0010954183232074
0.0344,0.002009485738541571,0.0017598799911524297,0.0010980518045469847
0.0346,0.0020037753128264685,0.001758019843929238,0.0011006527292572426
0.0348,0.0019981034447424336,0.001756152290821476,0.0011032213558319708
0.035,0.001992469749624379,0.0017542776296010298,0.0011057579418330625
0.0352,0.001986873847353496,0.001752396150390232,0.0011082627438649812
0.0354,0.001981315362311902,0.0017505081358665808,0.0011107360175501495
0.0356,0.0019757939233368167,0.001748613861461418,0.0011131780175052289
0.0358,0.0019703091636743397,0.001746713595552757,0.0011155889973182747
0.036,0.001964860720932896,0.0017448075996524628,0.0011179692095267533
0.0362,0.001959448237036417,0.0017428961285879607,0.001120318905596391
0.0364,0.001954071358177318,0.0017409794306786528,0.0011226383359008493
0.0366,0.001948729734769329,0.001739057747907213,0.001124927749702203
0.0368,0.0019434230214002259,0.0017371313160859268,0.001127187395132202
0.037,0.001938150876784516,0.0017352003650182336,0.0011294175191743044
0.0372,0.0019329129637161264,0.0017332651186556256,0.0011316183676464637
0.0374,0.0019277089490211208,0.0017313257952500482,0.0011337901851846458
0.0376,0.0019225385035105049,0.0017293826075019509,0.0011359332152270703
0.0378,0.0019174013019331421,0.0017274357627041215,0.0011380476999991542
0.038,0.0019122970229288174,0.0017254854628814364,0.0011401338804991404
0.0382,0.0019072253489814735,0.0017235319049266594,0.0011421919964843983
0.0384,0.0019021859663726631,0.0017215752807324053,0.0011442222864583831
0.0386,0.001897178565135226,0.0017196157773194027,0.001146224987658231
0.0388,0.0018922028390072224,0.0017176535769611479,0.0011482003360429836
0.039,0.0018872584853861492,0.001715688857305086,0.001150148566282423
0.0392,0.00188234520528345,0.0017137217914904121,0.0011520699117465018
0.0394,0.0018774627032793405,0.0017117525482625987,0.001153964604495355
0.0396,0.0018726106874779745,0.0017097812920847536,0.0011558328752698831
0.0398,0.0018677888694629506,0.0017078081832459036,0.0011576749534828862
0.04,0.0018629969642531843,0.0017058333779662927,0.0011594910672107386
0.0402,0.001858234690259157,0.0017038570284997993,0.0011612814431855942
0.0404,0.0018535017692395484,0.001701879283233539,0.0011630463067881023
0.0406,0.0018487979262582692,0.0016999002867847607,0.001164785882040626
0.0408,0.0018441228896418946,0.0016979201800950982,0.0011665003916009513
0.041,0.0018394763909375157,0.0016959391005222702,0.0011681900567564664
0.0412,0.0018348581648710096,0.0016939571819292953,0.0011698550974188128
0.0414,0.0018302679493057365,0.001691974554771305,0.0011714957321189816
0.0416,0.001825705485201669,0.0016899913461800183,0.0011731121780028527
0.0418,0.001821170516574961,0.0016880076800459528,0.0011747046508271616
0.042,0.0018166627904579531,0.0016860236770984342,0.001176273364955886
